,sentence,tags
0,"Your target heart rate should be between 64% and 76% of your maximum heart rate, except for people that are 50 years old.",O B-DER I-DER I-DER O O O O O O O O O O O O O O O O B-BAS O O O B-BAS I-BAS O 
1,"Whenever the day is sunny, the treat is icecream.",O O B-BAS O O O O B-DER O O O 
2,"The employee premium is a presence premium, if (s)he has an anciennity of at least 1 year and an absence of less than 2 weeks during the year.",O B-DER I-DER O O O O O O O O O O O O B-BAS O O O O O O O B-BAS O O O O O O O O O 
3,"As far as the supply side, this represents the number of the company’s shares that are available to buy and sell.",O O O O B-DER I-DER O O O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O 
4,The healthiness of the senses is calculated from the results of eye and hearing tests.,O B-DER I-DER I-DER I-DER O O O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O 
5,"If you know your weight, height and age, your basal metabolic rate is equal to 655 + (9.6 X weight in kg) + (1.8 x height in cm) – (4.7 x age in yrs).",O O O O O O O O O O O B-DER I-DER I-DER O O O O O O O O B-BAS O O O O O O O B-BAS O O O O O O O B-BAS O O O O 
6,"The total price depends on the unit price, the number of units purchased and the discount policy.",O B-DER I-DER O O O B-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS O 
7,"For physical activity that is vigorously intense, your target age-related heart rate should be between 77% and 93% of your maximum heart rate, except if your disease is a heart disease.",O B-BAS I-BAS O O O O O O B-DER I-DER I-DER I-DER O O O O O O O O O O O O O O O O O B-BAS O O O O O 
8,"Unless your physical activity level is of high intensity, your target heart rate should be between 64% and 76% of your maximum heart rate, else your target heart rate should be between 77% and 93% of your maximum heart rate.",O O B-BAS I-BAS O O O O O O O B-DER I-DER I-DER O O O O O O O O O O O O O O O O B-DER I-DER I-DER O O O O O O O O O O O O O O 
9,"The season will determine the dinner of tonight, which determines the drinks.",O B-BAS O O O B-DER I-DER I-DER O O O O B-DER O 
10,"Age, history of incidents and profession determine the kind of auto insurance you get.",B-BAS O B-BAS I-BAS I-BAS O B-BAS O O B-DER I-DER I-DER I-DER O O O 
11,"For physical activity that is moderately intense, your target heart rate should be between 64% and 76% of your maximum heart rate.",O B-BAS I-BAS O O O O O O B-DER I-DER I-DER O O O O O O O O O O O O O O 
12,"The differential diagnosis made by a doctor is based on the patient’s full medical history, which is accessable from the database. ",O B-DER I-DER O O O O O O O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O O O O O O O 
13,A top-level Gold Member shopper receives a 25% discount .,O O O O B-BAS O O O O B-DER O 
14,To check for deviation of the operation route one should consider the GPS Location and the present operation route.,O O O B-DER I-DER I-DER I-DER I-DER O O O O B-BAS I-BAS O O B-BAS I-BAS I-BAS O 
