,sentence,tags
0,If the customer has a premium card her entrance to the lounge should always be admitted.,O O B-BAS O O O O O B-DER I-DER I-DER I-DER O O O O O 
1,"If a person is 25 years old, his entrace to the park is permitted.",O O B-BAS O O B-BAS I-BAS O O B-DER I-DER I-DER I-DER O O O 
2,The employee's premium is equal to an anciennity premium if (s)he has an anciennity of at least 3 years and an absence of no more than 4 weeks during the year.,O B-DER I-DER I-DER O O O O O O O O O O O O O B-BAS O O O O O O O B-BAS O O O O O O O O O O 
3,"If your diet is a higher fat diet, the multiplier should be 0.5g/lb.",O O B-BAS O O O O O O O B-DER O O O O 
4,"To pass the pre-selection stage, the first cycle of a higher education course (university education) must be completed and a full degree must by obtained by the closing date for applications.",O B-DER I-DER I-DER I-DER O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O O O O O O O O B-BAS I-BAS O O O O O O O O O O 
5,"If your symptoms are a fever or a cough, your chance of being infected with covid-19 is high.",O O B-BAS O O O O O O O O B-DER I-DER I-DER I-DER I-DER I-DER O O O 
6,"In case that the order is more than 39 units, the discount is 6%.",O O O O B-BAS O O O O O O O B-DER O O O O 
7,The technical efficiency of a worker is optimal if the production is the maximum output from the minimum quantity of inputs.,O B-DER I-DER I-DER I-DER I-DER O O O O B-BAS O O O O O O O O O O O 
8,"If a child’s blood sugar level is 200 milligrams per deciliter (mg/dL), or 11.1 millimoles per liter (mmol/L), or higher the presence of diabetes is confirmed. ",O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O O O O O O O O O O O O O O O O O O O O B-DER I-DER I-DER O O O 
9,"The employee premium is awarded, if (s)he has an anciennity of at least 3 years.",O B-DER I-DER O O O O O O O O O O B-BAS O O O O O O 
10,"If the person's age is between 19 and 30 years, then the insurance cost is 100 euro per year.",O O B-BAS I-BAS I-BAS O O O O O O O O O B-DER I-DER O O O O O O 
11,"When your country of residence does not fall within the category of risk-countries or your PCR test is negative, the permission to enter the country is granted.",O O B-BAS I-BAS I-BAS O O O O O O O O O O B-BAS I-BAS O O O O B-DER I-DER I-DER I-DER I-DER O O O 
12,"Moreover, if a down payment is larger the interest rate will be lower.",O O O O B-BAS I-BAS O O O B-DER I-DER O O O O 
13,"If you are 5 years old, your height is small.",O O O O B-BAS I-BAS O O B-DER O O O 
14,"If the number of nominees is equal to 3, then the election criterion is the majority vote.",O O B-BAS I-BAS I-BAS O O O O O O O B-DER I-DER O O O O O 
15,A low carb diet needs to be follow if you want to lose weight.,O O B-BAS I-BAS O O O O O O O O B-DER I-DER O 
16,The latter then verifies the repayment agreement: the cancellation of the application by the loan provider is true in case the repayment schedule is not compliant.,O O O O O O O O O B-DER I-DER I-DER I-DER O O O O O O O O O B-BAS I-BAS O O O O 
17,The service request is a product change if the score is 10.,O B-DER I-DER O O O O O O B-BAS O O O 
18,"If testing capacity is limited or the risk of infection is high, the first group to be tested should be those at higher risk of infection, such as health workers, and those at higher risk of severe illness such as older people.",O B-BAS I-BAS O O O O B-BAS I-BAS I-BAS O O O O B-DER I-DER I-DER I-DER I-DER O O O O O O O O O O O O O O O O O O O O O O O O O O O 
19,Your traveled distance is your average velocity multiplied with the expired time.,O B-DER I-DER O O B-BAS I-BAS O O O B-BAS I-BAS O 
20,Your sleep should last 8 to 10 hours (if your growth phase is teenager) or 7 to 9 hours (if your growth phase is adult).,O B-DER O O O O O O O O O B-BAS I-BAS O O O O O O O O O O O B-DER I-DER O O O O 
21,"For physical activity that is vigorously intense, your target age-related heart rate should be between 77% and 93% of your maximum heart rate, except if your disease is a heart disease.",O B-BAS I-BAS O O O O O O B-DER I-DER I-DER I-DER O O O O O O O O O O O O O O O O O B-BAS O O O O O 
22,"For physical activity of vigorous intensity, your target heart rate should be between 77% and 93% of your maximum heart rate.",O B-BAS I-BAS O O O O O B-DER I-DER I-DER O O O O O O O O O O O O O O 
23,"If you are a promising young talent, you have a higher chance of getting a wildcard.",O O O O B-BAS I-BAS I-BAS O O O O O B-DER I-DER I-DER I-DER I-DER O 
24,if you are adult you should sleep 7 to 9 hours and if you are teenager you should sleep 8 to 10 hours.,O O O B-BAS O O B-DER O O O O O O O O B-BAS O O B-DER O O O O O 
25,"However, when the person is between 16 and 18 years old, insurance cost amounts to 800 euros.",O O O O B-BAS O O O O O B-BAS I-BAS O B-DER I-DER O O O O O 
26,The loading of a container in pounds equals the sum of the weights of all packages.,O B-DER I-DER I-DER I-DER O O O O O O O B-BAS I-BAS I-BAS I-BAS O 
27,"If your age is 18 or above, your gym membership is valid, otherwise your gym membership must be approved by your parents.",O O B-BAS O O O O O O B-DER I-DER O O O O O B-DER I-DER O O O O O O O 
28,"The stock level is in the red zone, whenever the amount of units is less than 99.",O B-DER I-DER O O O O O O O O B-DER I-DER I-DER O O O O O 
29,"This shows that if physical activity is moderately intense and age is 50, the heart rate should stay between 109 and 129 bpm during physical activity.",O O O O B-BAS I-BAS O O O O B-BAS O O O O B-DER I-DER O O O O O O O O O O O 
30,"If a player ranked inside the top 104 is unable to play due to injury or for any other reasons can’t play, then the participation of the player that is ranked 105th will be approved.",O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O O O O O O O O O O O O O O O O O O B-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER O O O O 
31,A country’s GDP is equal to customer spending (C) + business investments (I) + governmental spending (G) + net eports (X-M).,O B-DER I-DER I-DER I-DER O O O B-BAS I-BAS O O O O B-BAS I-BAS O O O O B-BAS I-BAS O O O O B-BAS I-BAS O O O O 
32,"If the number of nominees is equal to 3 and the majority vote is assigned to one of the nominees,, then the elected as Chairman is one of the 3 nominees.",O O B-BAS I-BAS I-BAS O O O O O O B-BAS I-BAS O O O O O O O O O O O B-DER I-DER I-DER O O O O O O O 
33,Your maternity benefit is calculated as 82% of your salary (no ceiling) for the first 30 days and it is calculated as 75% of your salary (subject to ceiling) from the 31st day onwards.,O B-DER I-DER O O O O O O O B-BAS O O O O O O B-BAS I-BAS I-BAS O O O O O O O O O B-BAS O O O O O O O B-BAS I-BAS I-BAS O 
34,"If the company policy is in the form of a stable dividend policy, the dividend payout frequency should be yearly, regardless of earnings fluctuations.",O O B-BAS I-BAS O O O O O O O O O O O B-DER I-DER I-DER O O O O O O O O O 
35,"If symptoms are not present but close contact with someone who may be infected happened 2 days ago, the risk of being infected is high.",O B-BAS O O O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O O O O O B-DER I-DER I-DER I-DER O O O 
